id,2016,2015,2014,2013,2012,2011,2010,
516,7.5,7.1,6.7,6.3,5.9,5.5,5.2,
524,2.7,2.5,2.4,2.2,2.1,2,1.8,
528,20.8,20.2,19.7,19.1,18.5,18,17.4,
540,0,0,0,0,0,0,,none
554,30.1,29.4,28.8,28.1,27.5,26.9,26.2,
558,17.9,17.4,16.8,16.3,15.8,15.3,14.8,
562,2.5,2.3,2.2,2.1,2,1.8,1.7,
566,4.6,4.3,4.1,3.9,3.6,3.4,3.2,
578,23.6,23,22.4,21.9,21.3,20.8,20.2,
512,22.9,22.2,21.4,20.7,20,19.3,18.6,
586,6,5.7,5.4,5.1,4.8,4.5,4.3,
275,0,0,0,0,0,0,0,none
591,17.8,17.3,16.7,16.2,15.7,15.3,14.8,
598,16.6,16,15.5,15,14.4,13.9,13.4,
600,17.1,16.6,16.1,15.6,15.1,14.6,14.1,
604,15.2,14.8,14.3,13.9,13.5,13.1,12.8,
608,5.2,5,4.7,4.5,4.3,4,3.8,
616,23.7,23.2,22.6,22.1,21.6,21.1,20.6,
620,20.3,19.8,19.2,18.6,18.1,17.5,17,
630,0,0,0,0,0,0,0,none
634,32.5,31.8,31.1,30.4,29.7,29,28.3,
642,23.4,22.7,22.1,21.5,20.9,20.3,19.8,
643,18.1,17.6,17.2,16.8,16.4,16,15.6,
646,1.9,1.8,1.7,1.6,1.5,1.4,1.3,
682,30.8,30,29.3,28.5,27.8,27.1,26.4,
686,4,3.8,3.6,3.4,3.3,3.1,3,
688,21.1,20.6,20.1,19.6,19.1,18.6,18.2,
694,3.8,3.6,3.4,3.2,3.1,2.9,2.8,
703,21,20.5,20,19.6,19.2,18.7,18.3,
705,19.4,18.9,18.5,18.1,17.6,17.2,16.8,
90,17.9,17.3,16.6,16,15.4,14.8,14.2,
706,3.9,3.7,3.5,3.4,3.2,3,2.9,
710,15.4,14.8,14.2,13.6,13,12.5,12,
728,0,0,0,0,0,0,0,
724,24.6,24.1,23.6,23.1,22.7,22.2,21.7,
144,2.9,2.7,2.5,2.3,2.2,2,1.9,
729,0,0,0,0,0,0,0,
740,18.9,18.4,17.9,17.4,16.9,16.4,16,
