id,2016,2015,2010,2000
4,65,66,67,69
8,25,25,29,31
12,39,40,41,48
24,61,62,64,68
10,0,0,0,0
32,28,28,27,30
51,24,24,23,34
36,19,19,19,21
40,15,15,16,15
31,36,35,33,41
44,38,39,41,46
50,50,51,53,60
112,21,21,21,26
56,17,17,17,18
84,47,47,45,42
204,62,62,63,62
64,64,64,66,72
68,49,50,53,55
70,20,21,22,36
72,46,47,48,50
76,41,41,43,50
96,49,50,49,52
100,20,21,21,25
854,65,65,64,63
108,65,65,62,60
116,53,53,57,63
120,64,64,65,67
124,22,22,22,23
140,55,56,58,57
148,70,71,70,68
152,29,29,30,34
156,32,32,32,36
170,43,44,44,46
178,53,54,56,58
180,59,59,59,62
188,35,35,38,41
384,72,73,72,67
191,16,16,17,24
192,31,31,31,35
196,16,17,17,18
203,20,20,21,22
208,20,20,21,22
262,56,57,58,65
214,44,44,45,52
218,41,42,45,51
818,46,46,45,46
222,37,38,41,47
226,61,62,62,61
232,55,56,60,64
233,16,17,18,25
231,56,57,59,66
238,0,0,0,0
242,54,55,60,62
246,15,16,17,17
250,16,16,17,17
260,0,0,0,0
266,40,40,40,42
270,61,61,61,62
268,18,19,19,24
276,15,14,15,17
288,53,53,47,60
300,13,13,14,17
304,0,0,0,0
320,51,51,53,59
324,61,62,62,62
624,59,60,61,61
328,57,57,54,61
332,54,55,55,54
340,46,46,46,50
348,23,23,23,28
352,19,19,17,21
356,51,52,54,60
360,49,50,49,51
364,35,34,36,49
368,46,46,45,41
372,21,21,22,23
376,20,20,20,22
380,12,12,13,16
388,29,29,28,29
392,12,12,15,22
400,45,46,48,52
398,33,34,34,38
404,57,58,58,61
408,30,31,36,45
410,19,19,23,31
414,58,59,54,59
417,37,37,35,39
418,52,53,54,58
428,17,18,21,25
422,29,30,31,40
426,48,49,47,50
430,55,56,58,61
434,41,40,42,49
440,17,18,20,26
442,17,16,18,19
807,0,0,0,0
450,58,58,60,64
454,49,50,52,57
458,43,44,44,46
466,63,64,65,64
478,54,55,55,56
484,42,41,42,48
498,29,30,32,38
496,51,51,51,52
499,22,22,23,29
504,30,30,32,47
508,56,57,60,67
104,50,50,49,51
516,46,47,48,50
524,47,49,51,60
528,20,20,21,21
540,0,0,0,0
554,22,22,23,24
558,47,47,49,55
562,65,67,69,73
566,68,69,69,70
578,17,16,17,16
512,48,49,48,51
586,50,51,53,57
275,0,0,0,0
591,38,38,39,45
598,61,62,63,66
600,45,46,47,50
604,40,40,42,49
608,55,56,56,58
616,24,23,23,27
620,14,14,15,19
630,0,0,0,0
634,59,59,56,58
642,21,21,22,30
643,25,25,26,30
646,57,58,59,66
682,45,45,43,45
686,53,54,57,63
688,20,21,22,30
694,75,76,77,80
703,24,24,23,25
705,16,17,17,24
90,53,54,57,66
706,66,67,68,67
710,48,49,50,54
728,58,58,61,68
724,13,13,14,15
144,35,36,35,40
729,59,60,61,64
740,42,42,44,51
748,0,0,0,0
752,14,14,15,15
756,14,14,15,16
760,41,42,46,47
158,0,0,0,0
762,45,45,42,49
834,56,57,59,63
764,37,37,40,49
626,51,52,57,71
768,63,64,63,61
780,38,39,41,44
788,31,31,31,39
792,32,32,35,44
795,51,51,48,50
800,62,63,62,66
804,21,22,22,27
784,69,69,65,61
826,18,18,19,20
840,27,27,26,23
858,22,21,21,25
860,44,43,40,44
548,49,50,54,55
862,43,43,44,51
704,32,31,30,33
732,0,0,0,0
887,61,61,62,62
894,57,58,60,66
716,55,55,56,54
