id,2016,2015,2014,2013,2012,2011,2010
566,0,0.76,0.76,0.76,0.75,0.75,0.7
578,2.65,2.57,2.62,2.68,2.67,2.83,2.91
512,0.16,0.16,0.16,0.17,0.18,0.2,0.21
586,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0
591,5.14,5.37,5.74,5.52,5.14,5.05,4.86
598,0,0.68,0.73,0.8,0.83,0.85,0.76
600,3.15,3.13,3.17,3.2,3.21,3.32,3.28
604,0,3.06,3.09,3.07,3.19,3.09,3.13
608,1.24,1.12,1.11,1.1,1.26,1.29,1.29
616,5.85,5.83,5.8,5.74,5.83,5.54,5.3
620,2.79,2.69,2.71,2.81,2.82,3.12,3.36
630,0,0,3.35,3.22,3.1,3.12,3.16
634,0.34,0.33,0.33,0.33,0.34,0.32,0.33
642,0,5.78,4.9,5.1,5,4.7,4.5
643,3.29,3.49,3.64,3.96,4.17,4.13,4.09
646,0,1.02,0.95,1.02,0.98,0.88,0.81
682,0,0,0,0,0,0,0
686,0,0.14,0.14,0.14,0.14,0.15,0.14
688,2.94,2.95,2.61,2.9,3.15,2.93,2.85
694,0,0.14,0.13,0.24,0.2,0.19,0.18
703,3.42,3.44,3.32,3.43,3.67,3.55,3.44
705,4.35,5.73,5.37,4.55,4.58,4.94,4.59
90,0,0.94,0.91,0.94,0.96,0.99,0.99
706,0,0,0,0,0,0,0
710,3.99,3.94,4,4.07,4.15,4.21,4.19
728,0,0,0,0,0,0,0
724,4.64,4.51,4.35,4.42,4.41,4.4,4.87
144,0,0.36,0.37,0.4,0.4,0.28,0.3
729,0,0,0,0.04,0,0,0
740,1.9,2.05,2.15,2.11,2.07,2.04,2.03
748,0,0,0,0,0,0,0
752,2.61,2.62,2.64,2.65,2.63,2.7,2.67
756,3.03,3.17,3.17,3.17,3.17,3.17,3.18
760,0,0.03,0.02,0.01,0.02,0.08,0.1
158,0,0,0,0,0,0,0
762,0.35,0.36,0.4,0.39,0.36,0.36,0.29
834,0,0.75,0.76,0.8,0.76,0.69,0.66
764,0,1.86,2.1,2.22,2.11,1.94,1.86
626,0,0.38,0.38,0.38,0.39,0.33,0.02
768,0,0.61,0.61,0.58,0.52,0.49,0.63
780,4.35,3.73,3.68,3.6,3.58,3.51,3.53
788,1.01,1.04,0.95,0.85,0.85,0.85,0.87
792,0.74,0.8,0.83,0.78,0.9,0.84,0.86
795,0.92,0.87,0.81,0.83,0.64,0.44,0.35
800,0,0.84,0.89,0.79,0.93,0.74,0.69
804,2.46,2.46,2.94,3.21,3.27,3.31,3.36
784,0.21,0.21,0.2,0.19,0.19,0.18,0.19
826,3.44,3.49,3.48,3.38,3.46,3.65,3.76
840,0,4.13,4.15,4.23,4.29,4.22,4.3
858,0,3.18,3.19,3.2,3.34,3.22,2.97
860,0.55,0.55,0.45,0.5,0.56,0.8,0.84
548,0,0.33,0.34,0.47,0.49,0.37,0.34
862,2.68,4.7,4.94,4.93,4.86,5.02,5.45
704,2.83,2.67,2.5,2.43,2.33,2.24,2.07
732,0,0,0,0,0,0,0
887,0,0.03,0.03,0.03,0.04,0.03,0.05
894,0,1.05,1.08,0.99,0.82,0.7,0.58
716,0,2.23,2.12,2.05,2.07,2.05,1.67
