id,2016,2015,2014,2013,2012,2011,2010,
524,5.4,5.1,4.9,4.6,4.4,4.1,3.9,
528,20,19.7,19.3,19,18.7,18.3,17.9,
540,,0,0,0,0,0,,none
554,31.4,30.9,30.3,29.8,29.2,28.7,28.1,
558,29,28.4,27.8,27.2,26.7,26.1,25.6,
562,8.7,8.3,7.9,7.6,7.2,6.9,6.6,
566,13.1,12.5,12,11.5,11,10.6,10.1,
578,22.5,22.2,21.8,21.5,21.1,20.8,20.4,
512,33.7,33.1,32.4,31.8,31.1,30.5,29.9,
586,11.3,10.8,10.4,9.9,9.5,9.1,8.7,
275,,,,,,,,none
591,27.6,27.1,26.5,26,25.4,24.9,24.4,
598,25.8,25.1,24.5,23.9,23.4,22.8,22.2,
600,23.4,22.9,22.3,21.8,21.3,20.7,20.2,
604,24.2,23.7,23.3,22.9,22.4,22,21.6,
608,7.5,7.2,7,6.7,6.5,6.2,6,
616,22.2,21.9,21.7,21.4,21.2,20.9,20.7,
620,21.2,20.9,20.5,20.1,19.8,19.4,19,
630,0,0,0,0,0,0,0,none
634,43.1,42.6,42.2,41.7,41.3,40.8,40.3,
642,21.6,21.3,20.9,20.6,20.3,20,19.7,
643,26.9,26.7,26.6,26.4,26.3,26.1,26,
646,9.3,8.9,8.4,8,7.6,7.2,6.8,
682,42.3,41.7,41.2,40.7,40.1,39.6,39.1,
686,12.9,12.5,12,11.6,11.2,10.8,10.5,
688,21.8,21.5,21.2,20.9,20.6,20.3,20,
694,13.3,12.8,12.3,11.9,11.5,11,10.6,
703,19.9,19.7,19.4,19.1,18.9,18.7,18.4,
705,21,20.7,20.4,20.1,19.9,19.6,19.3,
90,27.1,26.5,25.8,25.2,24.6,24,23.4,
706,12.3,11.8,11.4,10.9,10.5,10.1,9.7,
710,39.6,39,38.5,37.9,37.3,36.8,36.2,
728,No data,No data,No data,No data,No data,No data,No data,
724,22.8,22.5,22.3,22.1,21.9,21.7,21.4,
144,7.3,6.9,6.6,6.3,5.9,5.7,5.4,
729,No data,No data,No data,No data,No data,No data,No data,
740,33.7,33.2,32.7,32.2,31.7,31.2,30.7,
748,0,0,0,0,0,0,0,none
752,18.1,17.8,17.5,17.2,16.9,16.7,16.4,
756,16.9,16.6,16.3,16.1,15.8,15.5,15.3,
760,34.8,34.1,33.4,32.8,32.1,31.5,30.8,
158,0,0,0,0,0,0,0,none
762,16.7,16.1,15.5,15,14.5,14,13.5,
834,12.7,12.1,11.6,11.1,10.6,10.1,9.6,
764,12.7,12.1,11.5,11,10.4,9.9,9.3,
626,4.9,4.6,4.4,4.1,3.9,3.7,3.5,
768,12.5,12,11.6,11.1,10.7,10.3,9.8,
780,26,25.3,24.5,23.8,23.1,22.4,21.7,
788,34.3,33.7,33.1,32.6,32,31.4,30.9,
792,39.2,38.6,37.9,37.3,36.7,36,35.4,
795,20.9,20.3,19.8,19.2,18.6,18.1,17.5,
800,8.6,8.2,7.8,7.5,7.1,6.8,6.5,
804,25.7,25.5,25.2,25,24.8,24.6,24.4,
784,41,40.5,40,39.5,38.9,38.4,37.9,
826,28.6,28.1,27.6,27,26.5,26,25.4,
840,37,36.4,35.7,35.1,34.5,33.9,33.3,
858,30.6,30.1,29.7,29.3,28.8,28.4,28,
860,19,18.4,17.8,17.3,16.7,16.2,15.7,
548,30.1,29.4,28.8,28.2,27.5,26.9,26.3,
862,28.6,28.3,27.9,27.6,27.2,26.9,26.6,
704,2.6,2.4,2.3,2.1,2,1.9,1.7,
732,0,0,,0,0,0,0,none
887,22,21.3,20.6,19.9,19.3,18.6,18,
894,12.4,12,11.5,11.1,10.6,10.2,9.8,
716,25.3,24.8,24.4,23.9,23.5,23,22.6,
