id,2016,2015,2010,2000
4,66,67,69,71
8,29,29,34,37
12,41,42,43,50
24,66,67,69,74
10,0,0,0,0
32,35,35,34,38
51,34,34,32,43
36,24,24,24,26
40,21,21,24,24
31,46,45,42,51
44,45,45,48,52
50,51,52,54,60
112,35,35,35,40
56,23,23,23,25
84,50,50,47,45
204,66,66,67,66
64,62,63,65,71
68,50,51,55,57
70,28,28,30,45
72,52,53,54,58
76,47,47,49,55
96,54,54,52,53
100,30,31,30,34
854,68,69,68,67
108,68,68,65,63
116,57,58,60,66
120,67,68,68,70
124,27,27,27,28
140,60,61,63,62
148,73,73,73,71
152,35,35,36,39
156,36,36,35,40
170,46,47,46,47
178,56,57,59,62
180,63,64,64,66
188,39,40,41,44
384,72,73,73,70
191,25,25,26,36
192,35,35,35,37
196,23,23,24,24
203,28,29,31,32
208,25,25,27,27
262,61,61,62,69
214,47,47,47,54
218,43,44,47,54
818,53,53,52,52
222,43,44,46,54
226,66,67,67,66
232,59,60,64,69
233,28,28,29,38
231,59,60,62,68
238,0,0,0,0
242,60,61,65,67
246,23,23,26,27
250,24,24,25,26
260,0,0,0,0
266,46,47,46,47
270,63,63,63,64
268,29,30,29,35
276,21,21,23,28
288,58,58,53,61
300,20,20,20,24
304,0,0,0,0
320,52,53,55,63
324,63,64,65,64
624,62,63,64,65
328,61,62,58,63
332,57,57,58,57
340,47,47,47,51
348,33,33,35,39
352,21,22,21,24
356,56,56,58,62
360,55,55,55,56
364,35,34,37,50
368,51,51,51,47
372,25,26,28,29
376,25,26,25,27
380,16,17,18,23
388,31,31,30,32
392,17,18,21,30
400,47,48,50,54
398,45,46,47,52
404,60,61,60,63
408,41,42,48,59
410,29,30,35,45
414,64,65,60,65
417,49,49,46,51
418,56,57,57,62
428,29,29,32,39
422,32,33,35,41
426,51,51,50,52
430,58,59,61,64
434,45,43,46,53
440,29,30,33,38
442,24,23,25,28
807,0,0,0,0
450,61,61,62,64
454,54,55,58,63
458,48,49,49,50
466,65,66,66,65
478,59,59,59,60
484,46,46,46,52
498,40,41,42,46
496,60,60,60,57
499,30,30,30,38
504,32,32,34,49
508,61,62,64,70
104,55,55,54,55
516,51,52,54,55
524,49,50,54,64
528,24,24,26,27
540,0,0,0,0
554,25,26,27,28
558,51,51,53,60
562,69,70,72,75
566,69,70,71,72
578,22,21,23,21
512,57,58,56,59
586,52,53,55,57
275,0,0,0,0
591,41,41,42,46
598,65,66,67,70
600,47,48,49,53
604,44,44,46,52
608,63,63,63,64
616,35,35,35,39
620,21,22,22,27
630,0,0,0,0
634,70,70,65,61
642,31,30,32,39
643,39,39,40,46
646,62,63,63,68
682,51,51,48,48
686,56,57,60,66
688,28,29,29,39
694,75,76,78,81
703,35,36,35,37
705,25,26,27,36
90,53,55,57,65
706,69,70,71,71
710,55,56,57,59
728,61,61,65,71
724,19,19,21,24
144,45,46,45,47
729,61,62,64,67
740,48,48,49,54
748,0,0,0,0
752,18,18,19,19
756,19,19,21,23
760,46,46,49,51
158,0,0,0,0
762,49,48,46,55
834,58,59,60,67
764,44,44,47,54
626,56,58,61,75
768,65,66,66,65
780,44,45,46,48
788,35,35,34,42
792,38,38,41,51
795,59,59,56,59
800,66,67,66,70
804,33,34,33,40
784,76,77,78,72
826,22,22,24,25
840,33,33,32,30
858,28,28,28,33
860,50,49,47,53
548,52,53,56,54
862,48,49,50,56
704,44,44,42,43
732,0,0,0,0
887,63,63,64,63
894,62,62,64,69
716,57,58,59,58
