id,name,population,2016,2015,2014,2013,2012,2011,2010
418,Lao People's Democratic Republic,1,0,6.81,6.63,6.41,6.31,6.29,6.09
428,Latvia,1,11.19,10.82,10.6,10.43,10.2,10.11,9.83
422,Lebanon,1,1.21,1.18,1.36,1.34,1.42,1.47,1.56
426,Lesotho,1,0,2.88,2.66,2.64,2.51,2.45,2.86
430,Liberia,1,0,3.51,3.47,3.72,3.75,3.74,3.63
434,Libya,1,0,0,0,0,0.01,0,0
440,Lithuania,1,13.61,14.42,14.82,15.14,15.15,14.88,13.61
442,Luxembourg,1,11.22,11.83,11.69,11.55,11.89,12.01,11.72
807,"Macedonia, the former Yugoslav Republic of",1,0,0,0,0,0,0,
450,Madagascar,1,0.89,0.87,0.88,0.87,0.93,0.97,1.03
454,Malawi,1,0,2,1.99,1.99,1.83,1.86,1.67
458,Malaysia,1,0.63,0.64,0.58,0.59,0.53,0.51,0.49
466,Mali,1,0,0.58,0.58,0.58,0.61,0.6,0.58
478,Mauritania,1,0,0,0,0,0,0.01,0
484,Mexico,1,5.53,5.28,5.19,5.16,5.31,5.32,5.15
498,Republic of Moldova,1,9.3,9.39,9.14,9.62,9.85,8.67,7.55
496,Mongolia,1,0,5.66,5.74,5.64,5.51,5.38,5.06
499,Montenegro,1,0,6.41,6.53,6.47,6.49,6.38,7.26
504,Morocco,1,0,0.38,0.5,0.53,0.54,0.54,0.55
508,Mozambique,1,1.29,1.23,1.1,1,0.99,0.93,0.85
104,Myanmar,1,0,1.6,1.78,1.67,1.36,1.09,0.97
516,Namibia,1,0,7.83,7.83,7.83,6.34,7.71,7.44
524,Nepal,1,0,0.58,0.69,0.6,0.26,0.25,0.23
528,Netherlands,1,0,8.03,8.16,8.54,9.28,9.17,9.32
540,New Caledonia,1,0,0,0,0,0,0,
554,New Zealand,1,9.24,8.87,9.15,9.25,9.24,9.48,9.63
558,Nicaragua,1,3.86,3.73,3.54,3.56,3.61,3.36,3.34
562,Niger,1,0,0.11,0.11,0.1,0.16,0.13,0.11
566,Nigeria,1,0,9.62,9.64,9.63,9.9,10.13,10.31
578,Norway,1,6.03,5.97,6.06,6.22,6.21,6.44,6.59
512,Oman,1,0.39,0.39,0.39,0.42,0.48,0.51,0.53
586,Pakistan,1,0.04,0.04,0.04,0.03,0.03,0.04,0.04
275,"Palestinian Territory, Occupied",1,0,0,0,0,0,0,0
591,Panama,1,6.69,6.92,7.29,7.35,7.11,7.05,6.9
598,Papua New Guinea,1,0,0.71,0.76,0.83,0.87,0.88,0.79
600,Paraguay,1,5.8,5.63,6.07,6.14,6.17,6.6,6.81
604,Peru,1,0,5.1,5.14,5.06,5.38,5.26,5.28
608,Philippines,1,4.55,4.41,4.55,4.53,4.95,4.9,4.78
616,Poland,1,10.43,10.48,10.45,10.79,10.19,10.21,10.04
620,Portugal,1,10.66,10.54,10.35,10.54,10.86,11.91,12.23
630,Puerto Rico,1,0,0,4.96,4.87,4.8,4.63,4.66
634,Qatar,1,1.31,1.26,1.2,1.24,1.16,1.17,1.14
642,Romania,1,0,10.4,10.46,10.59,10.55,10.4,10.79
643,Russian Federation,1,8.42,8.41,8.85,9.92,10.89,10.95,10.98
646,Rwanda,1,0,6.91,6.83,6.9,7.13,7.3,7.7
682,Saudi Arabia,1,0,0.08,0.08,0.08,0.08,0.09,0.08
686,Senegal,1,0,0.25,0.25,0.25,0.28,0.31,0.28
688,Serbia,1,9.17,9.13,8.77,9.06,9.05,8.96,9.09
694,Sierra Leone,1,0,3.42,3.4,3.53,3.6,3.84,3.91
703,Slovakia,1,10.14,10.78,10.89,10.54,10.66,10.78,10.55
705,Slovenia,1,10.51,11.49,10.92,9.53,10.95,10.61,10.31
90,Solomon Islands,1,0,0.98,0.95,0.98,1,1.05,1.09
706,Somalia,1,0,0,0,0,0,0,0
710,South Africa,1,7.12,7.12,7.17,7.19,7.26,7.28,7.28
728,South Sudan,1,0,0,0,,0,0,0
724,Spain,1,8.58,8.26,8.7,8.77,8.83,9.01,9.78
144,Sri Lanka,1,0,2.72,2.45,2.65,2.89,3.03,2.31
729,Sudan,1,0,0,0,0.06,0,0,0
740,Suriname,1,4.22,4.69,5.41,5.95,5.75,5.66,5.27
748,Swaziland,1,0,0,0,0,0,0,0
752,Sweden,1,7.18,7.16,7.2,7.32,7.23,7.34,7.31
756,Switzerland,1,9.43,9.62,9.62,9.74,9.87,9.99,10.01
760,Syrian Arab Republic,1,0,0.23,0.2,0.15,0.21,0.6,0.76
158,"Taiwan, Province of China",1,0,0,0,0,0,0,0
762,Tajikistan,1,0.91,0.9,0.87,0.79,0.76,0.7,0.67
834,"Tanzania, United Republic of",1,0,6.16,6.16,6.2,5.84,6.62,6.65
764,Thailand,1,0,6.57,6.9,6.79,7.09,7.14,6.7
626,Timor-Leste,1,0,0.56,0.56,0.56,0.57,0.46,0.09
768,Togo,1,0,1.66,1.66,1.63,1.38,1.53,1.3
780,Trinidad and Tobago,1,7.52,6.87,6.88,6.68,6.68,6.5,6.5
788,Tunisia,1,1.4,1.42,1.49,1.4,1.39,1.28,1.27
792,Turkey,1,1.29,1.4,1.44,1.4,1.53,1.51,1.49
795,Turkmenistan,1,3.43,3.39,3.85,3.88,3.7,3.56,3.55
800,Uganda,1,0,7.63,7.67,7.58,8.3,11.59,11.3
804,Ukraine,1,5.82,5.75,6.22,7.11,8.18,8.77,8.81
784,United Arab Emirates,1,2.1,2.03,1.94,1.86,1.79,1.76,1.7
826,United Kingdom,1,9.81,9.82,9.69,9.65,9.76,10.02,10.22
840,United States,1,0,8.78,8.77,8.81,8.86,8.66,8.56
858,Uruguay,1,0,9.03,9.06,8.7,8.47,8.75,8.52
860,Uzbekistan,1,1.6,1.61,1.51,1.56,1.52,1.77,1.79
548,Vanuatu,1,0,0.85,0.86,0.98,1.04,0.85,0.91
862,"Venezuela, Bolivarian Republic of",1,3.87,5.98,6.41,6.66,6.65,6.7,7.18
704,Viet Nam,1,3.1,2.92,2.74,2.66,2.5,2.37,2.18
732,Western Sahara,1,0,0,0,0,0,,0
887,Yemen,1,0,0.04,0.04,0.04,0.04,0.04,0.05
894,Zambia,1,0,2.89,2.93,2.81,2.96,2.93,2.95
716,Zimbabwe,1,0,3.55,3.44,3.34,3.45,3.34,2.92
